admit,gre,gpa,gendermale,race
0,660,3.32,1,2
0,520,3.12,0,1
1,600,2.98,1,2
0,460,3.77,0,3
1,580,3.58,1,2
1,680,3,1,1
1,660,3.14,1,2
0,660,3.94,1,1
0,360,3.27,1,3
0,660,3.45,0,2
0,520,3.1,1,2
1,440,3.39,0,3
0,600,3.31,1,3
1,800,3.22,1,3
1,660,3.7,1,1
0,800,3.15,1,1
0,420,2.26,1,2
1,620,3.45,0,3
0,800,2.78,0,2
0,680,3.7,1,1
0,800,3.97,0,1
0,480,2.55,0,2
0,520,3.25,0,1
0,560,3.16,0,2
0,460,3.07,0,2
0,540,3.5,1,3
0,720,3.4,0,1
0,640,3.3,1,3
1,660,3.6,0,1
1,400,3.15,0,3
1,680,3.98,1,1
0,220,2.83,1,3
0,580,3.46,0,1
1,540,3.17,0,1
0,580,3.51,1,1
0,540,3.13,1,3
0,440,2.98,0,3
0,560,4,0,3
0,660,3.67,0,1
0,660,3.77,0,3
1,520,3.65,1,2
0,540,3.46,0,3
1,300,2.84,1,1
1,340,3,0,3
1,780,3.63,1,1
1,480,3.71,1,1
0,540,3.28,1,3
0,460,3.14,0,2
0,460,3.58,0,1
0,500,3.01,1,2
0,420,2.69,1,1
0,520,2.7,1,1
0,680,3.9,1,2
0,680,3.31,0,2
1,560,3.48,1,3
0,580,3.34,0,1
0,500,2.93,0,2
0,740,4,0,1
0,660,3.59,0,3
0,420,2.96,1,2
0,560,3.43,0,2
1,460,3.64,0,3
1,620,3.71,0,1
0,520,3.15,0,3
0,620,3.09,0,2
0,540,3.2,1,1
1,660,3.47,1,2
0,500,3.23,0,1
1,560,2.65,0,3
0,500,3.95,0,1
0,580,3.06,1,1
0,520,3.35,0,2
0,500,3.03,0,2
0,600,3.35,1,1
0,580,3.8,1,3
0,400,3.36,0,1
0,620,2.85,0,2
1,780,4,1,3
0,620,3.43,0,2
1,580,3.12,0,2
0,700,3.52,0,3
1,540,3.78,0,3
1,760,2.81,1,2
0,700,3.27,0,2
0,720,3.31,1,2
1,560,3.69,0,3
0,720,3.94,1,3
1,520,4,0,1
1,540,3.49,1,3
0,680,3.14,1,1
0,460,3.44,1,3
1,560,3.36,0,1
0,480,2.78,0,1
0,460,2.93,1,1
0,620,3.63,1,2
0,580,4,0,2
0,800,3.89,0,1
1,540,3.77,0,1
1,680,3.76,1,2
1,680,2.42,1,1
1,620,3.37,1,1
0,560,3.78,1,3
0,560,3.49,0,1
0,620,3.63,1,2
1,800,4,0,3
0,640,3.12,1,1
0,540,2.7,1,1
0,700,3.65,0,3
1,540,3.49,1,1
0,540,3.51,1,3
0,660,4,1,3
1,480,2.62,1,1
0,420,3.02,1,3
1,740,3.86,0,2
0,580,3.36,1,2
0,640,3.17,0,2
0,640,3.51,1,3
1,800,3.05,1,3
1,660,3.88,0,1
1,600,3.38,0,3
1,620,3.75,0,2
1,460,3.99,1,3
0,620,4,0,2
0,560,3.04,0,1
0,460,2.63,0,2
0,700,3.65,1,1
0,600,3.89,1,3
